Phenotype,HGNC
"Surfactant metabolism dysfunction, pulmonary, 1",SFTPB
Interstitial lung disease 2,SFTPA2
"Neuropathy, hereditary motor and sensory, type VIC, with optic atrophy",PDXK
"Cutis laxa, autosomal recessive, type IIB",PYCR1
"Cutis laxa, autosomal recessive, type IIIB",PYCR1
Pyruvate dehydrogenase E1-beta deficiency,PDHB
Spermatogenic failure 70,PDHA2
"Deafness, autosomal recessive 24",RDX
Alfadhel syndrome,RAP1GDS1
Thrombocytopenia 11 with multiple congenital anomalies and dysmorphic facies,RAP1B
Hiatt-Neu-Cooper neurodevelopmental syndrome,RALA
"?Breasts and/or nipples, aplasia or hypoplasia of, 2",PTPRF
"Choroidal dystrophy, central areolar 2",PRPH2
Leber congenital amaurosis 18,PRPH2
"Macular dystrophy, patterned, 1",PRPH2
"Macular dystrophy, vitelliform, 3",PRPH2
Retinitis pigmentosa 7 and digenic form,PRPH2
Retinitis punctata albescens,"PRPH2,RLBP1,RHO"
"Alpha/beta T-cell lymphopenia with gamma/delta T-cell expansion, severe cytomegalovirus infection, and autoimmunity",RAG1
Combined cellular and humoral immune defects with granulomas,"RAG1,RAG2"
Omenn syndrome,"RAG1,RAG2,DCLRE1C"
"Severe combined immunodeficiency, B cell-negative","RAG1,RAG2"
"Fanconi anemia, complementation group R",RAD51
Mirror movements 2,RAD51
"Renal cell carcinoma, papillary",PRCC
[Hyperproreninemia],REN
"Tubulointerstitial kidney disease, autosomal dominant, 4",REN
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 6",RPA1
Leber congenital amaurosis 12,RD3
Leber congenital amaurosis 2,RPE65
Retinitis pigmentosa 20,RPE65
Retinitis pigmentosa 87 with choroidal involvement,RPE65
Retinitis pigmentosa 43,PDE6A
"Night blindness, congenital stationary, autosomal dominant 2",PDE6B
Retinitis pigmentosa-40,PDE6B
Retinitis pigmentosa 57,PDE6G
Bothnia retinal dystrophy,RLBP1
Fundus albipunctatus,"RLBP1,RDH5"
Newfoundland rod-cone dystrophy,RLBP1
Brunet-Wagner neurodevelopmental syndrome,RBL2
"Microphthalmia, syndromic 12",RARB
"Leukemia, acute promyelocytic",RARA
"Microphthalmia, isolated, with coloboma 10",RBP4
"Retinal dystrophy, iris coloboma, and comedogenic acne syndrome",RBP4
?Retinitis pigmentosa 66,RBP3
"Anemia, hemolytic, Rh-null, regulator type",RHAG
Overhydrated hereditary stomatocytosis,RHAG
"Night blindness, congenital stationary, autosomal dominant 1",RHO
"Retinitis pigmentosa 4, autosomal dominant or recessive",RHO
Oguchi disease-2,GRK1
"Leukemia, acute T-cell",LMO2
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 6",RRM1
Ribose 5-phosphate isomerase deficiency,RPIA
Prostate cancer 1,RNASEL
Diamond-Blackfan anemia 5,RPL35A
Diamond-Blackfan anemia 4,RPS17
Neurodevelopmental disorder with hypotonia and variable intellectual and behavioral abnormalities,POLR2A
"Retinitis pigmentosa 7, digenic form",ROM1
{Malignant hyperthermia susceptibility 1},RYR1
"Congenital myopathy 1A, autosomal dominant, with susceptibility to malignant hyperthermia",RYR1
"Congenital myopathy 1B, autosomal recessive",RYR1
King-Denborough syndrome,RYR1
Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome,RYR2
"Ventricular tachycardia, catecholaminergic polymorphic, 1",RYR2
Congenital myopathy 20,RYR3
Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase,AHCY
Oguchi disease-1,SAG
"Retinitis pigmentosa 47, autosomal recessive",SAG
"Retinitis pigmentosa 96, autosomal dominant",SAG
"Microcephaly 7, primary, autosomal recessive",STIL
"[Bombay phenotype, digenic]",FUT2
"{Norwalk virus infection, resistance to}",FUT2
{Vitamin B12 plasma level QTL1},FUT2
"Osteogenesis imperfecta, type XVII",SPARC
"Dystonia, dopa-responsive, due to sepiapterin reductase deficiency",SPR
"{Anorexia nervosa, susceptibility to}",HTR2A
"{Major depressive disorder, response to citalopram therapy in}",HTR2A
"{Obsessive-compulsive disorder, susceptibility to}",HTR2A
"{Seasonal affective disorder, susceptibility to}",HTR2A
{Anxiety-related personality traits},SLC6A4
{Obsessive-compulsive disorder},SLC6A4
Cerebrocostomandibular syndrome,SNRPB
"{HIV infection, resistance to}",CCL3
"Diarrhea 8, secretory sodium, congenital",SLC9A3
?Fanconi renotubular syndrome 2,SLC34A1
"Hypercalcemia, infantile, 2",SLC34A1
"Nephrolithiasis/osteoporosis, hypophosphatemic, 1",SLC34A1
"Charcot-Marie-Tooth disease, axonal, type 2DD",ATP1A1
"Hypomagnesemia, seizures, and impaired intellectual development 2",ATP1A1
[Blood pressure regulation QTL],"ATP1B1,RGS5"
Alternating hemiplegia of childhood 1,ATP1A2
Developmental and epileptic encephalopathy 98,ATP1A2
"Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies",ATP1A2
"Migraine, familial basilar",ATP1A2
"Migraine, familial hemiplegic, 2",ATP1A2
Alternating hemiplegia of childhood 2,ATP1A3
CAPOS syndrome,ATP1A3
Developmental and epileptic encephalopathy 99,ATP1A3
Dystonia-12,ATP1A3
Glucose/galactose malabsorption,SLC5A1
Renal glucosuria,SLC5A2
"Developmental and epileptic encephalopathy 6B, non-Dravet",SCN1A
Dravet syndrome,SCN1A
"Febrile seizures, familial, 3A",SCN1A
"Generalized epilepsy with febrile seizures plus, type 2",SCN1A
"Migraine, familial hemiplegic, 3",SCN1A
Developmental and epileptic encephalopathy 11,SCN2A
"Episodic ataxia, type 9",SCN2A
"Seizures, benign familial infantile, 3",SCN2A
Developmental and epileptic encephalopathy 62,SCN3A
"Epilepsy, familial focal, with variable foci 4",SCN3A
"Hypercholanemia, familial 2",SLC10A1
ZTTK syndrome,SON
"Neuronopathy, distal hereditary motor, autosomal recessive 8",SORD
"?Fibromatosis, gingival, 1",SOS1
Noonan syndrome 4,SOS1
"Developmental delay, impaired speech, and behavioral abnormalities",SPTBN1
Developmental and epileptic encephalopathy 5,SPTAN1
Developmental delay with or without epilepsy,SPTAN1
"Neuronopathy, distal hereditary motor, autosomal dominant 11",SPTAN1
"Spastic paraplegia 91, autosomal dominant, with or without cerebellar ataxia",SPTAN1
Elliptocytosis-2,SPTA1
Pyropoikilocytosis,SPTA1
"Spherocytosis, type 3",SPTA1
"Anemia, neonatal hemolytic, fatal or near-fatal",SPTB
Elliptocytosis-3,SPTB
"Spherocytosis, type 2",SPTB
Oocyte/zygote/embryo maturation arrest 6,ZP2
Oocyte/zygote/embryo maturation arrest 3,ZP3
Squalene synthase deficiency,FDFT1
"Microphthalmia, syndromic 3",SOX2
Optic nerve hypoplasia and abnormalities of the central nervous system,SOX2
Coffin-Siris syndrome 10,SOX4
Peeling skin syndrome 4,CSTA
"[Skin/hair/eye pigmentation 7, blond/brown hair]",KITLG
"Deafness, autosomal dominant 69, unilateral or asymmetric",KITLG
Hyperpigmentation with or without hypopigmentation,KITLG
"Waardenburg syndrome, type 2F",KITLG
?Leukoencephalopathy with dystonia and motor neuropathy,SCP2
"Ichthyosis, follicular, with atrichia and photophobia syndrome 2",SREBF1
"Mucoepithelial dysplasia, hereditary",SREBF1
46XX sex reversal 4,NR5A1
46XY sex reversal 3,NR5A1
Adrenocortical insufficiency,NR5A1
Premature ovarian failure 7,NR5A1
Spermatogenic failure 8,NR5A1
"{Coronary heart disease, susceptibility to, 6}",MMP3
Gastrointestinal stromal tumor,"SDHB,SDHC"
"Mitochondrial complex II deficiency, nuclear type 4",SDHB
Paraganglioma and gastric stromal sarcoma,"SDHB,SDHC,SDHD"
Pheochromocytoma/paraganglioma syndrome 4,SDHB
"[Superoxide dismutase, elevated extracellular]",SOD3
"Diarrhea 5, with tufting enteropathy, congenital",EPCAM
Lynch syndrome 8,EPCAM
Baker-Gordon syndrome,SYT1
"Charcot-Marie-Tooth disease, type 4K",SURF1
"Mitochondrial complex IV deficiency, nuclear type 1",SURF1
"Myasthenic syndrome, congenital, 25",VAMP1
"Spastic ataxia 1, autosomal dominant",VAMP1
Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements,VAMP2
"{Obesity, association with}",SDC3
Lymphoproliferative syndrome 2,CD27
"Immunodeficiency 17, CD3 gamma deficient",CD3G
?Immunodeficiency 25,CD247
"Immunodeficiency 19, severe combined",CD3D
Immunodeficiency 18,CD3E
"Immunodeficiency 18, SCID variant",CD3E
"Immunodeficiency, common variable, 6",CD81
"?Deafness, cataract, impaired intellectual development, and polyneuropathy",PSMC3
Hypotaurinemic retinal degeneration and cardiomyopathy,SLC6A6
"Leukemia, T-cell acute lymphocytic, somatic","TAL2,TAL1"
"Leukemia/lymphoma, T-cell","TCL4,TCL1A,TCL1B"
"Immunodeficiency 7, TCR-alpha/beta deficient",TRAC
Immunodeficiency 116,CD8A
"Leukemia, T-cell acute lymphoblastic",LMO1
Immunodeficiency 79,CD4
OKT4 epitope deficiency,CD4
Lymphoproliferative syndrome 1,ITK
"{HIV-1 disease, delayed progression of}",CCL5
"{HIV-1 disease, rapid progression of}",CCL5
"{Leukemia, acute myeloid}","TERT,CHIC2"
"{Melanoma, cutaneous malignant, 9}",TERT
"Dyskeratosis congenita, autosomal dominant 2",TERT
"Dyskeratosis congenita, autosomal recessive 4",TERT
"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 1",TERT
"Deafness, autosomal dominant 56",TNC
"Macular dystrophy, retinal, 4",CLEC3B
"{Thiopurines, poor metabolism of, 1}",TPMT
"Trichothiodystrophy 7, nonphotosensitive",TARS1
"{Hemolytic uremic syndrome, atypical, susceptibility to, 6}",THBD
Thrombophilia 12 due to thrombomodulin defect,THBD
"{Bleeding disorder, platelet-type, 13, susceptibility to}",TBXA2R
"?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 3",TK2
Mitochondrial DNA depletion syndrome 2 (myopathic type),TK2
"Neurodegeneration, childhood-onset, with progressive microcephaly",DTYMK
"Dyskeratosis congenita, digenic",TYMS
"{Autoimmune thyroid disease, susceptibility to, 3}","TG,ZFAT"
Thyroid dyshormonogenesis 3,TG
"Hypothyroidism, congenital, nongoitrous 4",TSHB
"Hypothyroidism, congenital, nongoitrous, 7",TRHR
Sorsby fundus dystrophy,TIMP3
"Acrodysostosis 1, with or without hormone resistance",PRKAR1A
"Adrenocortical tumor, somatic",PRKAR1A
"Carney complex, type 1",PRKAR1A
"Myxoma, intracardiac",PRKAR1A
"Pigmented nodular adrenocortical disease, primary, 1",PRKAR1A
"Cardiomyopathy, dilated, 1G",TTN
"Cardiomyopathy, familial hypertrophic, 9",TTN
Congenital myopathy 5 with cardiomyopathy,TTN
"Muscular dystrophy, limb-girdle, autosomal recessive 10",TTN
"Myopathy, myofibrillar, 9, with early respiratory failure",TTN
"Tibial muscular dystrophy, tardive",TTN
{Renal cell carcinoma},HNF1B
Renal cysts and diabetes syndrome,HNF1B
Type 2 diabetes mellitus,HNF1B
"Corneal dystrophy, Fuchs endothelial, 6",ZEB1
"Corneal dystrophy, posterior polymorphous, 3",ZEB1
"?Intellectual developmental disorder, autosomal recessive 79",TPR
"Trichothiodystrophy 6, nonphotosensitive",GTF2E2
Sveinsson chorioretinal atrophy,TEAD1
Congenital heart defects and skeletal malformations syndrome,ABL1
"Leukemia, Philadelphia chromosome-positive, resistant to imatinib",ABL1
{T-cell acute lymphoblastic leukemia},MYB
Atransferrinemia,TF
Immunodeficiency 46,TFRC
Congenital myopathy with excess of muscle spindles,HRAS
Costello syndrome,HRAS
"Nevus sebaceous or woolly hair nevus, somatic",HRAS
"Spitz nevus or nevus spilus, somatic",HRAS
"Basal ganglia calcification, idiopathic, 5",PDGFB
Dermatofibrosarcoma protuberans,PDGFB
"Meningioma, SIS-related",PDGFB
Oocyte/zygote/embryo maturation arrest 20,MOS
"Arteriovenous malformation of the brain, somatic",KRAS
Cardiofaciocutaneous syndrome 2,KRAS
"Lung cancer, somatic","KRAS,MAP3K8,SLC22A18,PPP2R1B"
Noonan syndrome 3,KRAS
"Oculoectodermal syndrome, somatic",KRAS
"Pancreatic carcinoma, somatic","KRAS,RBBP8"
RAS-associated autoimmune leukoproliferative disorder,KRAS
"Burkitt lymphoma, somatic",MYC
?Thrombocytopenia 6,SRC
"Colon cancer, advanced, somatic",SRC
"Hypothyroidism, congenital, nongoitrous, 6",THRA
?Lethal congenital contractural syndrome 2,ERBB3
"{?Erythroleukemia, familial, susceptibility to}",ERBB3
"Visceral neuropathy, familial, 1, autosomal recessive",ERBB3
Thyroid hormone resistance,THRB
"Thyroid hormone resistance, autosomal recessive",THRB
"Thyroid hormone resistance, selective pituitary",THRB
"{Cystic fibrosis lung disease, modifier of}",TGFB1
Camurati-Engelmann disease,TGFB1
"Inflammatory bowel disease, immunodeficiency, and encephalopathy",TGFB1
"{Multiple self-healing squamous epithelioma, susceptibility to}",TGFBR1
Loeys-Dietz syndrome 1,TGFBR1
"Colorectal cancer, hereditary nonpolyposis, type 6",TGFBR2
"Esophageal cancer, somatic",TGFBR2
Loeys-Dietz syndrome 2,TGFBR2
"Ichthyosis, congenital, autosomal recessive 1",TGM1
"?Epilepsy, myoclonic, familial adult, 5",CNTN2
Adams-Oliver syndrome 5,NOTCH1
Aortic valve disease 1,NOTCH1
Loeys-Dietz syndrome 4,TGFB2
Arrhythmogenic right ventricular dysplasia 1,TGFB3
Loeys-Dietz syndrome 5,TGFB3
Combined D-2- and L-2-hydroxyglutaric aciduria,SLC25A1
"Myasthenic syndrome, congenital, 23, presynaptic",SLC25A1
?Uncombable hair syndrome 3,TCHH
Hemolytic anemia due to triosephosphate isomerase deficiency,TPI1
Immunodeficiency 78 with autoimmunity and developmental delay,TPP2
"Arthrogryposis, distal, type 1A",TPM2
"Arthrogryposis, distal, type 2B4",TPM2
Congenital myopathy 23,TPM2
"Cardiomyopathy, dilated, 1Y",TPM1
"Cardiomyopathy, hypertrophic, 3",TPM1
Left ventricular noncompaction 9,TPM1
"Congenital myopathy 4A, autosomal dominant",TPM3
"Congenital myopathy 4B, autosomal recessive",TPM3
Congenital myopathy 15,TNNC2
"Cardiomyopathy, dilated, 1Z",TNNC1
"Cardiomyopathy, hypertrophic, 13",TNNC1
"Nemaline myopathy 5A, autosomal recessive, severe infantile",TNNT1
"Nemaline myopathy 5B, autosomal recessive, childhood-onset",TNNT1
"Nemaline myopathy 5C, autosomal dominant",TNNT1
"Arthrogryposis, distal, type 2B1",TNNI2
"?Cardiomyopathy, dilated, 2A",TNNI3
"Cardiomyopathy, dilated, 1FF",TNNI3
"Cardiomyopathy, familial restrictive, 1",TNNI3
"Cardiomyopathy, hypertrophic, 7",TNNI3
"Cardiomyopathy, dilated, 1D",TNNT2
"Cardiomyopathy, familial restrictive, 3",TNNT2
"Cardiomyopathy, hypertrophic, 2",TNNT2
Left ventricular noncompaction 6,TNNT2
"Neurodevelopmental disorder with microcephaly and speech delay, with or without brain abnormalities",WARS1
"Neuronopathy, distal hereditary motor, autosomal dominant 9",WARS1
[?Hypertryptophanemia],TDO2
"?Focal cortical dysplasia, type II, somatic",TSC2
"Lymphangioleiomyomatosis, somatic",TSC2
Tuberous sclerosis-2,TSC2
Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,TUBA4A
"Cortical dysplasia, complex, with other brain malformations 6",TUBB
"Symmetric circumferential skin creases, congenital, 1",TUBB
"Cortical dysplasia, complex, with other brain malformations 4",TUBG1
"{Dementia, vascular, susceptibility to}",TNF
"{Migraine without aura, susceptibility to}",TNF
"{Septic shock, susceptibility to}",TNF
"Autoinflammatory syndrome, familial, Behcet-like 1",TNFAIP3
"{Adrenocortical carcinoma, pediatric}",TP53
{Basal cell carcinoma 7},TP53
{Choroid plexus papilloma},TP53
{Colorectal cancer},TP53
{Glioma susceptibility 1},TP53
{Osteosarcoma},TP53
Bone marrow failure syndrome 5,TP53
Li-Fraumeni syndrome,TP53
"Nasopharyngeal carcinoma, somatic",TP53
"Pancreatic cancer, somatic","TP53,SMAD4,ACVR1B,STK11"
"{Multiple sclerosis, susceptibility to, 5}",TNFRSF1A
"Periodic fever, familial",TNFRSF1A
"Oculocutaneous albinism, type VIII",DCT
"Segawa syndrome, recessive",TH
"Maturity-onset diabetes of the young, type 11",BLK
"{Hemangioma, capillary infantile, susceptibility to}",KDR
"Spondylometaepiphyseal dysplasia, short limb-hand type",DDR2
Warburg-Cinotti syndrome,DDR2
"Insensitivity to pain, congenital, with anhidrosis",NTRK1
"Developmental delay, dysmorphic facies, and brain anomalies",U2AF2
"Mitochondrial complex III deficiency, nuclear type 10",UQCRFS1
Parkinsonism with polyneuropathy,UQCRC1
"Mitochondrial complex III deficiency, nuclear type 5",UQCRC2
"Mitochondrial complex III deficiency, nuclear type 3",UQCRB
"{?Parkinson disease 5, susceptibility to}",UCHL1
"Spastic paraplegia 79A, autosomal dominant",UCHL1
"Spastic paraplegia 79B, autosomal recessive",UCHL1
"Congenital disorder of glycosylation, type Ij",DPAGT1
"Myasthenic syndrome, congenital, 13, with tubular aggregates",DPAGT1
"{Hyperlipidemia, familial combined, susceptibility to}",USF1
"Immunodeficiency with hyper IgM, type 5",UNG
"[Bilirubin, serum level of, QTL1]",UGT1A1
[Gilbert syndrome],UGT1A1
"Crigler-Najjar syndrome, type I",UGT1A1
"Crigler-Najjar syndrome, type II",UGT1A1
"Hyperbilirubinemia, familial transient neonatal",UGT1A1
Developmental and epileptic encephalopathy 83,UGP2
Quebec platelet disorder,PLAU
"Tubulointerstitial kidney disease, autosomal dominant, 1",UMOD
"{Prostate cancer, susceptibility to}","CDH1,AR"
Blepharocheilodontic syndrome 1,CDH1
"Breast cancer, lobular, somatic",CDH1
Diffuse gastric and lobular breast cancer syndrome with or without cleft lip and/or palate,CDH1
"Endometrial carcinoma, somatic","CDH1,MSH3"
Developmental and epileptic encephalopathy 104,ATP6V0A1
Neurodevelopmental disorder with epilepsy and brain atrophy,ATP6V0A1
Distal renal tubular acidosis 2 with progressive sensorineural hearing loss,ATP6V1B1
"Neurodevelopmental disorder with microcephaly, seizures, and cortical atrophy",VARS1
{Microvascular complications of diabetes 1},VEGFA
"Diabetes insipidus, neurohypophyseal",AVP
"Cerebellar hypoplasia, impaired intellectual development, and dysequilibrium syndrome 1",VLDLR
"Parkinsonism-dystonia, infantile, 2",SLC18A2
"Cataract 30, pulverulent",VIM
"Cardiomyopathy, dilated, 1W",VCL
"Cardiomyopathy, hypertrophic, 15",VCL
"Bleeding disorder, platelet-type, 21",FLI1
"{Major affective disorder-7, susceptibility to}",XBP1
"?Spinocerebellar ataxia, autosomal recessive 26",XRCC1
"Short stature, microcephaly, and endocrine dysfunction",XRCC4
"?Polydactyly, postaxial, type A6",ZNF141
Oocyte/zygote/embryo maturation arrest 1,ZP1
Acetyl-CoA carboxylase deficiency,ACACA
Bardet-Biedl syndrome 1,BBS1
[Bombay phenotype],FUT1
"{Hemolytic uremic syndrome, atypical, susceptibility to, 3}",CFI
"{Macular degeneration, age-related, 13, susceptibility to}",CFI
Complement factor I deficiency,CFI
C6 deficiency,C6
C7 deficiency,C7
Fletcher factor (prekallikrein) deficiency,KLKB1
Glutaric acidemia IIC,ETFDH
Propionicacidemia,"PCCA,PCCB"
Glycine encephalopathy1,GLDC
Glycine encephalopathy 2,AMT
Multiple mitochondrial dysfunctions syndrome 7,GCSH
Dihydrolipoamide dehydrogenase deficiency,DLD
"Nephronophthisis 2, infantile",INVS
Leukotriene C4 synthase deficiency,LTC4S
?Pancreatic lipase deficiency,PNLIP
"Maple syrup urine disease, type II",DBT
"Maple syrup urine disease, type Ib",BCKDHB
Hyper-IgD syndrome,MVK
Mevalonic aciduria,MVK
"Porokeratosis 3, multiple types",MVK
Mucopolysaccharidosis Ih,IDUA
Mucopolysaccharidosis Ih/s,IDUA
Mucopolysaccharidosis Is,IDUA
"Factor XI deficiency, autosomal dominant",F11
"Factor XI deficiency, autosomal recessive",F11
Ghosal hematodiaphyseal syndrome,TBXAS1
Trehalase deficiency,TREH
"Deafness, autosomal dominant 11",MYO7A
"Deafness, autosomal recessive 2",MYO7A
"Usher syndrome, type 1B",MYO7A
"{Autism susceptibility, X-linked 3}",MECP2
"Encephalopathy, neonatal severe",MECP2
"Intellectual developmental disorder, X-linked syndromic 13",MECP2
"Intellectual developmental disorder, X-linked syndromic, Lubs type",MECP2
Rett syndrome,MECP2
"Rett syndrome, atypical",MECP2
"Rett syndrome, preserved speech variant",MECP2
Dent disease 1,CLCN5
Hypophosphatemic rickets,CLCN5
"Nephrolithiasis, type I",CLCN5
"Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis",CLCN5
Menkes disease,ATP7A
